Task Name,ECO Number,State
Task 1,ECO_1,Released
Task 2,ECO_2,Released
Task 3,ECO_3,Implemented
Task 4,ECO_4,Implemented
Task 5,ECO_5,Implemented
Task 6,ECO_6,Released
Task 7,ECO_7,Released
Task 8,ECO_8,Implemented
Task 9,ECO_9,Released
Task 10,ECO_10,Implemented
Task 11,ECO_11,Implemented
Task 12,ECO_12,Released
Task 13,ECO_13,Released
Task 14,ECO_14,Released
Task 15,ECO_15,Implemented
Task 16,ECO_16,Released
Task 17,ECO_17,Released
Task 18,ECO_18,Released
Task 19,ECO_19,Released
Task 20,ECO_20,Implemented
Task 21,ECO_21,Released
Task 22,ECO_22,Released
Task 23,ECO_23,Released
Task 24,ECO_24,Released
Task 25,ECO_25,Implemented
Task 26,ECO_26,Implemented
Task 27,ECO_27,Released
Task 28,ECO_28,Released
Task 29,ECO_29,Released
Task 30,ECO_30,Released
Task 31,ECO_31,Released
Task 32,ECO_32,Released
Task 33,ECO_33,Released
Task 34,ECO_34,Implemented
Task 35,ECO_35,Implemented
Task 36,ECO_36,Released
Task 37,ECO_37,Released
Task 38,ECO_38,Implemented
Task 39,ECO_39,Implemented
Task 40,ECO_40,Released
Task 41,ECO_41,Released
Task 42,ECO_42,Implemented
Task 43,ECO_43,Implemented
Task 44,ECO_44,Released
Task 45,ECO_45,Implemented
Task 46,ECO_46,Implemented
Task 47,ECO_47,Released
Task 48,ECO_48,Released
Task 49,ECO_49,Implemented
Task 50,ECO_50,Implemented
Task 51,ECO_51,Implemented
Task 52,ECO_52,Released
Task 53,ECO_53,Implemented
Task 54,ECO_54,Implemented
Task 55,ECO_55,Released
Task 56,ECO_56,Released
Task 57,ECO_57,Released
Task 58,ECO_58,Released
Task 59,ECO_59,Implemented
Task 60,ECO_60,Implemented
Task 61,ECO_61,Released
Task 62,ECO_62,Implemented
Task 63,ECO_63,Implemented
Task 64,ECO_64,Implemented
Task 65,ECO_65,Released
Task 66,ECO_66,Released
Task 67,ECO_67,Released
Task 68,ECO_68,Implemented
Task 69,ECO_69,Implemented
Task 70,ECO_70,Released
Task 71,ECO_71,Implemented
Task 72,ECO_72,Released
Task 73,ECO_73,Implemented
Task 74,ECO_74,Released
Task 75,ECO_75,Released
Task 76,ECO_76,Implemented
Task 77,ECO_77,Released
Task 78,ECO_78,Implemented
Task 79,ECO_79,Implemented
Task 80,ECO_80,Implemented
Task 81,ECO_81,Implemented
Task 82,ECO_82,Released
Task 83,ECO_83,Implemented
Task 84,ECO_84,Released
Task 85,ECO_85,Released
Task 86,ECO_86,Implemented
Task 87,ECO_87,Released
Task 88,ECO_88,Implemented
Task 89,ECO_89,Implemented
Task 90,ECO_90,Released
Task 91,ECO_91,Released
Task 92,ECO_92,Implemented
Task 93,ECO_93,Implemented
Task 94,ECO_94,Implemented
Task 95,ECO_95,Implemented
Task 96,ECO_96,Released
Task 97,ECO_97,Implemented
Task 98,ECO_98,Released
Task 99,ECO_99,Implemented
Task 100,ECO_100,Released
Task 101,ECO_101,Released
Task 102,ECO_102,Implemented
Task 103,ECO_103,Implemented
Task 104,ECO_104,Released
Task 105,ECO_105,Implemented
Task 106,ECO_106,Implemented
Task 107,ECO_107,Implemented
Task 108,ECO_108,Released
Task 109,ECO_109,Implemented
Task 110,ECO_110,Released
Task 111,ECO_111,Implemented
Task 112,ECO_112,Implemented
Task 113,ECO_113,Released
Task 114,ECO_114,Implemented
Task 115,ECO_115,Implemented
Task 116,ECO_116,Released
Task 117,ECO_117,Released
Task 118,ECO_118,Released
Task 119,ECO_119,Released
Task 120,ECO_120,Released
Task 121,ECO_121,Released
Task 122,ECO_122,Released
Task 123,ECO_123,Implemented
Task 124,ECO_124,Implemented
Task 125,ECO_125,Released
Task 126,ECO_126,Released
Task 127,ECO_127,Released
Task 128,ECO_128,Released
Task 129,ECO_129,Implemented
Task 130,ECO_130,Released
Task 131,ECO_131,Released
Task 132,ECO_132,Released
Task 133,ECO_133,Released
Task 134,ECO_134,Released
Task 135,ECO_135,Released
Task 136,ECO_136,Implemented
Task 137,ECO_137,Released
Task 138,ECO_138,Implemented
Task 139,ECO_139,Released
Task 140,ECO_140,Implemented
Task 141,ECO_141,Released
Task 142,ECO_142,Implemented
Task 143,ECO_143,Implemented
Task 144,ECO_144,Implemented
Task 145,ECO_145,Released
Task 146,ECO_146,Released
Task 147,ECO_147,Implemented
Task 148,ECO_148,Released
Task 149,ECO_149,Implemented
Task 150,ECO_150,Implemented
Task 151,ECO_151,Released
Task 152,ECO_152,Implemented
Task 153,ECO_153,Implemented
Task 154,ECO_154,Implemented
Task 155,ECO_155,Implemented
Task 156,ECO_156,Released
Task 157,ECO_157,Implemented
Task 158,ECO_158,Implemented
Task 159,ECO_159,Implemented
Task 160,ECO_160,Implemented
Task 161,ECO_161,Released
Task 162,ECO_162,Implemented
Task 163,ECO_163,Implemented
Task 164,ECO_164,Implemented
Task 165,ECO_165,Implemented
Task 166,ECO_166,Released
Task 167,ECO_167,Implemented
Task 168,ECO_168,Implemented
Task 169,ECO_169,Released
Task 170,ECO_170,Released
Task 171,ECO_171,Released
Task 172,ECO_172,Implemented
Task 173,ECO_173,Released
Task 174,ECO_174,Released
Task 175,ECO_175,Released
Task 176,ECO_176,Released
Task 177,ECO_177,Released
Task 178,ECO_178,Released
Task 179,ECO_179,Released
Task 180,ECO_180,Released
Task 181,ECO_181,Released
Task 182,ECO_182,Implemented
Task 183,ECO_183,Implemented
Task 184,ECO_184,Implemented
Task 185,ECO_185,Released
Task 186,ECO_186,Released
Task 187,ECO_187,Implemented
Task 188,ECO_188,Implemented
Task 189,ECO_189,Released
Task 190,ECO_190,Implemented
Task 191,ECO_191,Implemented
Task 192,ECO_192,Implemented
Task 193,ECO_193,Implemented
Task 194,ECO_194,Released
Task 195,ECO_195,Released
Task 196,ECO_196,Implemented
Task 197,ECO_197,Implemented
Task 198,ECO_198,Implemented
Task 199,ECO_199,Released
Task 200,ECO_200,Released
Task 201,ECO_201,Implemented
Task 202,ECO_202,Implemented
Task 203,ECO_203,Released
Task 204,ECO_204,Released
Task 205,ECO_205,Released
Task 206,ECO_206,Implemented
Task 207,ECO_207,Released
Task 208,ECO_208,Released
Task 209,ECO_209,Released
Task 210,ECO_210,Implemented
Task 211,ECO_211,Implemented
Task 212,ECO_212,Released
Task 213,ECO_213,Released
Task 214,ECO_214,Released
Task 215,ECO_215,Implemented
Task 216,ECO_216,Implemented
Task 217,ECO_217,Implemented
Task 218,ECO_218,Released
Task 219,ECO_219,Released
Task 220,ECO_220,Implemented
Task 221,ECO_221,Released
Task 222,ECO_222,Implemented
Task 223,ECO_223,Implemented
Task 224,ECO_224,Released
Task 225,ECO_225,Released
Task 226,ECO_226,Implemented
Task 227,ECO_227,Released
Task 228,ECO_228,Released
Task 229,ECO_229,Implemented
Task 230,ECO_230,Released
Task 231,ECO_231,Implemented
Task 232,ECO_232,Released
Task 233,ECO_233,Implemented
Task 234,ECO_234,Released
Task 235,ECO_235,Released
Task 236,ECO_236,Released
Task 237,ECO_237,Implemented
Task 238,ECO_238,Released
Task 239,ECO_239,Implemented
Task 240,ECO_240,Implemented
Task 241,ECO_241,Released
Task 242,ECO_242,Implemented
Task 243,ECO_243,Implemented
Task 244,ECO_244,Released
Task 245,ECO_245,Implemented
Task 246,ECO_246,Implemented
Task 247,ECO_247,Implemented
Task 248,ECO_248,Implemented
Task 249,ECO_249,Implemented
Task 250,ECO_250,Released
Task 251,ECO_251,Released
Task 252,ECO_252,Released
Task 253,ECO_253,Implemented
Task 254,ECO_254,Released
Task 255,ECO_255,Released
Task 256,ECO_256,Implemented
Task 257,ECO_257,Implemented
Task 258,ECO_258,Implemented
Task 259,ECO_259,Implemented
Task 260,ECO_260,Released
Task 261,ECO_261,Implemented
Task 262,ECO_262,Implemented
Task 263,ECO_263,Implemented
Task 264,ECO_264,Released
Task 265,ECO_265,Released
Task 266,ECO_266,Implemented
Task 267,ECO_267,Implemented
Task 268,ECO_268,Implemented
Task 269,ECO_269,Implemented
Task 270,ECO_270,Released
Task 271,ECO_271,Released
Task 272,ECO_272,Released
Task 273,ECO_273,Released
Task 274,ECO_274,Released
Task 275,ECO_275,Released
Task 276,ECO_276,Released
Task 277,ECO_277,Implemented
Task 278,ECO_278,Released
Task 279,ECO_279,Released
Task 280,ECO_280,Released
Task 281,ECO_281,Released
Task 282,ECO_282,Implemented
Task 283,ECO_283,Implemented
Task 284,ECO_284,Released
Task 285,ECO_285,Released
Task 286,ECO_286,Implemented
Task 287,ECO_287,Implemented
Task 288,ECO_288,Implemented
Task 289,ECO_289,Implemented
Task 290,ECO_290,Implemented
Task 291,ECO_291,Implemented
Task 292,ECO_292,Released
Task 293,ECO_293,Implemented
Task 294,ECO_294,Released
Task 295,ECO_295,Implemented
Task 296,ECO_296,Released
Task 297,ECO_297,Released
Task 298,ECO_298,Implemented
Task 299,ECO_299,Implemented
Task 300,ECO_300,Implemented
Task 301,ECO_301,Implemented
Task 302,ECO_302,Implemented
Task 303,ECO_303,Implemented
Task 304,ECO_304,Implemented
Task 305,ECO_305,Implemented
Task 306,ECO_306,Released
Task 307,ECO_307,Released
Task 308,ECO_308,Implemented
Task 309,ECO_309,Released
Task 310,ECO_310,Implemented
Task 311,ECO_311,Implemented
Task 312,ECO_312,Released
Task 313,ECO_313,Implemented
Task 314,ECO_314,Implemented
Task 315,ECO_315,Released
Task 316,ECO_316,Implemented
Task 317,ECO_317,Implemented
Task 318,ECO_318,Implemented
Task 319,ECO_319,Implemented
Task 320,ECO_320,Released
Task 321,ECO_321,Released
Task 322,ECO_322,Released
Task 323,ECO_323,Implemented
Task 324,ECO_324,Implemented
Task 325,ECO_325,Released
Task 326,ECO_326,Implemented
Task 327,ECO_327,Implemented
Task 328,ECO_328,Implemented
Task 329,ECO_329,Implemented
Task 330,ECO_330,Implemented
Task 331,ECO_331,Implemented
Task 332,ECO_332,Implemented
Task 333,ECO_333,Released
Task 334,ECO_334,Released
Task 335,ECO_335,Released
Task 336,ECO_336,Implemented
Task 337,ECO_337,Released
Task 338,ECO_338,Implemented
Task 339,ECO_339,Implemented
Task 340,ECO_340,Implemented
Task 341,ECO_341,Implemented
Task 342,ECO_342,Released
Task 343,ECO_343,Released
Task 344,ECO_344,Released
Task 345,ECO_345,Implemented
Task 346,ECO_346,Released
Task 347,ECO_347,Implemented
Task 348,ECO_348,Released
Task 349,ECO_349,Released
Task 350,ECO_350,Released
Task 351,ECO_351,Implemented
Task 352,ECO_352,Released
Task 353,ECO_353,Released
Task 354,ECO_354,Released
Task 355,ECO_355,Released
Task 356,ECO_356,Released
Task 357,ECO_357,Implemented
Task 358,ECO_358,Released
Task 359,ECO_359,Released
Task 360,ECO_360,Implemented
Task 361,ECO_361,Released
Task 362,ECO_362,Implemented
Task 363,ECO_363,Implemented
Task 364,ECO_364,Implemented
Task 365,ECO_365,Released
Task 366,ECO_366,Implemented
Task 367,ECO_367,Implemented
Task 368,ECO_368,Implemented
Task 369,ECO_369,Implemented
Task 370,ECO_370,Released
Task 371,ECO_371,Implemented
Task 372,ECO_372,Implemented
Task 373,ECO_373,Implemented
Task 374,ECO_374,Implemented
Task 375,ECO_375,Released
Task 376,ECO_376,Implemented
Task 377,ECO_377,Released
Task 378,ECO_378,Implemented
Task 379,ECO_379,Released
Task 380,ECO_380,Released
Task 381,ECO_381,Implemented
Task 382,ECO_382,Implemented
Task 383,ECO_383,Released
Task 384,ECO_384,Implemented
Task 385,ECO_385,Implemented
Task 386,ECO_386,Implemented
Task 387,ECO_387,Released
Task 388,ECO_388,Released
Task 389,ECO_389,Released
Task 390,ECO_390,Implemented
Task 391,ECO_391,Implemented
Task 392,ECO_392,Released
Task 393,ECO_393,Released
Task 394,ECO_394,Implemented
Task 395,ECO_395,Released
Task 396,ECO_396,Released
Task 397,ECO_397,Released
Task 398,ECO_398,Released
Task 399,ECO_399,Released
Task 400,ECO_400,Implemented
Task 401,ECO_401,Implemented
Task 402,ECO_402,Implemented
Task 403,ECO_403,Released
Task 404,ECO_404,Implemented
Task 405,ECO_405,Released
Task 406,ECO_406,Implemented
Task 407,ECO_407,Implemented
Task 408,ECO_408,Implemented
Task 409,ECO_409,Implemented
Task 410,ECO_410,Released
Task 411,ECO_411,Implemented
Task 412,ECO_412,Released
Task 413,ECO_413,Released
Task 414,ECO_414,Implemented
Task 415,ECO_415,Released
Task 416,ECO_416,Implemented
Task 417,ECO_417,Released
Task 418,ECO_418,Implemented
Task 419,ECO_419,Implemented
Task 420,ECO_420,Released
Task 421,ECO_421,Implemented
Task 422,ECO_422,Released
Task 423,ECO_423,Released
